"","week","instagram","periscope","meerkat","pinterest","facebook","start","end"
"215","2010-11-14 - 2010-11-20",0,0,0,0,69,2010-11-14,2010-11-20
"216","2010-11-21 - 2010-11-27",0,0,0,0,69,2010-11-21,2010-11-27
"217","2010-11-28 - 2010-12-04",0,0,0,0,68,2010-11-28,2010-12-04
"218","2010-12-05 - 2010-12-11",0,0,0,0,69,2010-12-05,2010-12-11
"219","2010-12-12 - 2010-12-18",0,0,0,0,69,2010-12-12,2010-12-18
"220","2010-12-19 - 2010-12-25",0,0,0,0,74,2010-12-19,2010-12-25
"221","2010-12-26 - 2011-01-01",0,0,0,0,76,2010-12-26,2011-01-01
"222","2011-01-02 - 2011-01-08",0,0,0,0,73,2011-01-02,2011-01-08
"223","2011-01-09 - 2011-01-15",0,0,0,0,71,2011-01-09,2011-01-15
"224","2011-01-16 - 2011-01-22",0,0,0,0,74,2011-01-16,2011-01-22
"225","2011-01-23 - 2011-01-29",0,0,0,0,74,2011-01-23,2011-01-29
"226","2011-01-30 - 2011-02-05",0,0,0,0,73,2011-01-30,2011-02-05
"227","2011-02-06 - 2011-02-12",0,0,0,0,74,2011-02-06,2011-02-12
"228","2011-02-13 - 2011-02-19",0,0,0,0,74,2011-02-13,2011-02-19
"229","2011-02-20 - 2011-02-26",0,0,0,0,71,2011-02-20,2011-02-26
"230","2011-02-27 - 2011-03-05",0,0,0,0,73,2011-02-27,2011-03-05
"231","2011-03-06 - 2011-03-12",0,0,0,0,72,2011-03-06,2011-03-12
"232","2011-03-13 - 2011-03-19",0,0,0,0,71,2011-03-13,2011-03-19
"233","2011-03-20 - 2011-03-26",0,0,0,0,71,2011-03-20,2011-03-26
"234","2011-03-27 - 2011-04-02",0,0,0,0,74,2011-03-27,2011-04-02
"235","2011-04-03 - 2011-04-09",0,0,0,0,73,2011-04-03,2011-04-09
"236","2011-04-10 - 2011-04-16",0,0,0,0,75,2011-04-10,2011-04-16
"237","2011-04-17 - 2011-04-23",0,0,0,0,75,2011-04-17,2011-04-23
"238","2011-04-24 - 2011-04-30",0,0,0,0,76,2011-04-24,2011-04-30
"239","2011-05-01 - 2011-05-07",0,0,0,0,72,2011-05-01,2011-05-07
"240","2011-05-08 - 2011-05-14",0,0,0,0,70,2011-05-08,2011-05-14
"241","2011-05-15 - 2011-05-21",0,0,0,0,69,2011-05-15,2011-05-21
"242","2011-05-22 - 2011-05-28",0,0,0,0,68,2011-05-22,2011-05-28
"243","2011-05-29 - 2011-06-04",0,0,0,0,72,2011-05-29,2011-06-04
"244","2011-06-05 - 2011-06-11",0,0,0,0,71,2011-06-05,2011-06-11
"245","2011-06-12 - 2011-06-18",0,0,0,0,73,2011-06-12,2011-06-18
"246","2011-06-19 - 2011-06-25",0,0,0,0,73,2011-06-19,2011-06-25
"247","2011-06-26 - 2011-07-02",0,0,0,0,73,2011-06-26,2011-07-02
"248","2011-07-03 - 2011-07-09",0,0,0,0,74,2011-07-03,2011-07-09
"249","2011-07-10 - 2011-07-16",0,0,0,0,75,2011-07-10,2011-07-16
"250","2011-07-17 - 2011-07-23",0,0,0,0,74,2011-07-17,2011-07-23
"251","2011-07-24 - 2011-07-30",0,0,0,0,76,2011-07-24,2011-07-30
"252","2011-07-31 - 2011-08-06",0,0,0,0,77,2011-07-31,2011-08-06
"253","2011-08-07 - 2011-08-13",0,0,0,0,76,2011-08-07,2011-08-13
"254","2011-08-14 - 2011-08-20",0,0,0,0,74,2011-08-14,2011-08-20
"255","2011-08-21 - 2011-08-27",0,0,0,0,76,2011-08-21,2011-08-27
"256","2011-08-28 - 2011-09-03",0,0,0,0,76,2011-08-28,2011-09-03
"257","2011-09-04 - 2011-09-10",0,0,0,0,76,2011-09-04,2011-09-10
"258","2011-09-11 - 2011-09-17",0,0,0,0,75,2011-09-11,2011-09-17
"259","2011-09-18 - 2011-09-24",0,0,0,0,75,2011-09-18,2011-09-24
"260","2011-09-25 - 2011-10-01",0,0,0,0,73,2011-09-25,2011-10-01
"261","2011-10-02 - 2011-10-08",0,0,0,0,75,2011-10-02,2011-10-08
"262","2011-10-09 - 2011-10-15",0,0,0,0,73,2011-10-09,2011-10-15
"263","2011-10-16 - 2011-10-22",0,0,0,0,73,2011-10-16,2011-10-22
"264","2011-10-23 - 2011-10-29",0,0,0,0,74,2011-10-23,2011-10-29
"265","2011-10-30 - 2011-11-05",0,0,0,0,73,2011-10-30,2011-11-05
"266","2011-11-06 - 2011-11-12",0,0,0,0,75,2011-11-06,2011-11-12
"267","2011-11-13 - 2011-11-19",0,0,0,0,72,2011-11-13,2011-11-19
"268","2011-11-20 - 2011-11-26",0,0,0,0,73,2011-11-20,2011-11-26
"269","2011-11-27 - 2011-12-03",0,0,0,0,73,2011-11-27,2011-12-03
"270","2011-12-04 - 2011-12-10",0,0,0,0,72,2011-12-04,2011-12-10
"271","2011-12-11 - 2011-12-17",0,0,0,0,74,2011-12-11,2011-12-17
"272","2011-12-18 - 2011-12-24",0,0,0,0,77,2011-12-18,2011-12-24
"273","2011-12-25 - 2011-12-31",0,0,0,0,80,2011-12-25,2011-12-31
"274","2012-01-01 - 2012-01-07",0,0,0,0,75,2012-01-01,2012-01-07
"275","2012-01-08 - 2012-01-14",0,0,0,1,72,2012-01-08,2012-01-14
"276","2012-01-15 - 2012-01-21",0,0,0,1,76,2012-01-15,2012-01-21
"277","2012-01-22 - 2012-01-28",0,0,0,1,75,2012-01-22,2012-01-28
"278","2012-01-29 - 2012-02-04",0,0,0,1,77,2012-01-29,2012-02-04
"279","2012-02-05 - 2012-02-11",0,0,0,1,75,2012-02-05,2012-02-11
"280","2012-02-12 - 2012-02-18",0,0,0,1,75,2012-02-12,2012-02-18
"281","2012-02-19 - 2012-02-25",0,0,0,1,76,2012-02-19,2012-02-25
"282","2012-02-26 - 2012-03-03",0,0,0,1,75,2012-02-26,2012-03-03
"283","2012-03-04 - 2012-03-10",0,0,0,1,76,2012-03-04,2012-03-10
"284","2012-03-11 - 2012-03-17",0,0,0,1,75,2012-03-11,2012-03-17
"285","2012-03-18 - 2012-03-24",0,0,0,1,75,2012-03-18,2012-03-24
"286","2012-03-25 - 2012-03-31",0,0,0,1,73,2012-03-25,2012-03-31
"287","2012-04-01 - 2012-04-07",0,0,0,1,75,2012-04-01,2012-04-07
"288","2012-04-08 - 2012-04-14",1,0,0,1,75,2012-04-08,2012-04-14
"289","2012-04-15 - 2012-04-21",0,0,0,1,75,2012-04-15,2012-04-21
"290","2012-04-22 - 2012-04-28",0,0,0,1,75,2012-04-22,2012-04-28
"291","2012-04-29 - 2012-05-05",0,0,0,1,74,2012-04-29,2012-05-05
"292","2012-05-06 - 2012-05-12",0,0,0,1,75,2012-05-06,2012-05-12
"293","2012-05-13 - 2012-05-19",0,0,0,1,73,2012-05-13,2012-05-19
"294","2012-05-20 - 2012-05-26",0,0,0,1,73,2012-05-20,2012-05-26
"295","2012-05-27 - 2012-06-02",0,0,0,1,77,2012-05-27,2012-06-02
"296","2012-06-03 - 2012-06-09",0,0,0,1,76,2012-06-03,2012-06-09
"297","2012-06-10 - 2012-06-16",0,0,0,1,75,2012-06-10,2012-06-16
"298","2012-06-17 - 2012-06-23",0,0,0,1,75,2012-06-17,2012-06-23
"299","2012-06-24 - 2012-06-30",1,0,0,1,75,2012-06-24,2012-06-30
"300","2012-07-01 - 2012-07-07",1,0,0,1,75,2012-07-01,2012-07-07
"301","2012-07-08 - 2012-07-14",0,0,0,1,74,2012-07-08,2012-07-14
"302","2012-07-15 - 2012-07-21",0,0,0,1,74,2012-07-15,2012-07-21
"303","2012-07-22 - 2012-07-28",1,0,0,1,75,2012-07-22,2012-07-28
